frame_id,track_id,lifetime,time,x1,y1,x2,y2,conf,class_ids,class_name,x,y,z,x_trg,y_trg,z_trg,roll,pitch,yaw
12,0,12,11:46:35.72,654,268,688,293,1.0,,,,,,,,,,,
13,0,13,11:46:35.84,650,268,684,293,1.0,,,,,,,,,,,
14,0,14,11:46:35.96,646,268,680,293,1.0,,,,,,,,,,,
15,0,15,11:46:36.09,646,268,680,293,1.0,,,,,,,,,,,
16,0,16,11:46:36.21,643,268,677,293,1.0,,,,,,,,,,,
17,0,17,11:46:36.33,639,268,673,293,1.0,,,,,,,,,,,
18,0,18,11:46:36.45,635,268,669,293,1.0,,,,,,,,,,,
19,0,19,11:46:36.57,635,268,669,293,1.0,,,,,,,,,,,
20,0,20,11:46:36.69,632,268,666,293,1.0,,,,,,,,,,,
21,0,21,11:46:36.81,632,268,666,293,1.0,,,,,,,,,,,
22,0,22,11:46:36.94,632,268,666,293,1.0,,,,,,,,,,,
23,0,23,11:46:37.07,635,268,669,293,1.0,,,,,,,,,,,
24,0,24,11:46:37.20,639,268,673,293,1.0,,,,,,,,,,,
25,0,25,11:46:37.32,646,268,680,293,1.0,,,,,,,,,,,
26,0,26,11:46:37.44,650,268,684,293,1.0,,,,,,,,,,,
27,0,27,11:46:37.56,658,268,692,293,1.0,,,,,,,,,,,
28,0,28,11:46:37.69,661,268,695,293,1.0,,,,,,,,,,,
29,0,29,11:46:37.81,665,268,699,293,1.0,,,,,,,,,,,
30,0,30,11:46:37.93,672,268,706,293,1.0,,,,,,,,,,,
31,0,31,11:46:38.04,680,268,714,293,1.0,,,,,,,,,,,
32,0,32,11:46:38.18,684,268,718,293,1.0,,,,,,,,,,,
33,0,33,11:46:38.30,691,268,725,293,1.0,,,,,,,,,,,
34,0,34,11:46:38.41,698,268,732,293,1.0,,,,,,,,,,,
35,0,35,11:46:38.53,709,265,743,290,1.0,,,,,,,,,,,
36,0,36,11:46:38.65,717,265,751,290,1.0,,,,,,,,,,,
37,0,37,11:46:38.79,721,265,755,290,1.0,,,,,,,,,,,
38,0,38,11:46:38.93,724,265,758,290,1.0,,,,,,,,,,,
39,0,39,11:46:39.06,735,265,769,290,1.0,,,,,,,,,,,
40,0,40,11:46:39.18,743,265,777,290,1.0,,,,,,,,,,,
41,0,41,11:46:39.30,754,265,788,290,1.0,,,,,,,,,,,
42,0,42,11:46:39.41,769,261,803,286,1.0,,,,,,,,,,,
43,0,43,11:46:39.54,776,261,810,286,1.0,,,,,,,,,,,
44,0,44,11:46:39.68,780,261,814,286,1.0,,,,,,,,,,,
45,0,45,11:46:39.81,780,261,814,286,1.0,,,,,,,,,,,
46,0,46,11:46:39.95,780,261,814,286,1.0,,,,,,,,,,,
47,0,47,11:46:40.08,780,257,814,282,1.0,,,,,,,,,,,
48,0,48,11:46:40.20,780,257,814,282,1.0,,,,,,,,,,,
49,0,49,11:46:40.33,776,257,810,282,1.0,,,,,,,,,,,
50,0,50,11:46:40.44,769,253,803,278,1.0,,,,,,,,,,,
51,0,51,11:46:40.57,758,253,792,278,1.0,,,,,,,,,,,
52,0,52,11:46:40.69,750,253,784,278,1.0,,,,,,,,,,,
53,0,53,11:46:40.81,743,253,777,278,1.0,,,,,,,,,,,
54,0,54,11:46:40.95,735,253,769,278,1.0,,,,,,,,,,,
55,0,55,11:46:41.08,728,250,762,275,1.0,,,,,,,,,,,
56,0,56,11:46:41.21,721,250,755,275,1.0,,,,,,,,,,,
57,0,57,11:46:41.33,713,250,747,275,1.0,,,,,,,,,,,
58,0,58,11:46:41.46,702,250,736,275,1.0,,,,,,,,,,,
59,0,59,11:46:41.58,695,246,729,271,1.0,,,,,,,,,,,
60,0,60,11:46:41.70,684,246,718,271,1.0,,,,,,,,,,,
61,0,61,11:46:41.83,676,246,710,271,1.0,,,,,,,,,,,
62,0,62,11:46:41.95,669,246,703,271,1.0,,,,,,,,,,,
63,0,63,11:46:42.06,661,246,695,271,1.0,,,,,,,,,,,
64,0,64,11:46:42.19,646,242,680,267,1.0,,,,,,,,,,,
65,0,65,11:46:42.30,639,242,673,267,1.0,,,,,,,,,,,
66,0,66,11:46:42.44,628,239,662,264,1.0,,,,,,,,,,,
67,0,67,11:46:42.57,617,239,651,264,1.0,,,,,,,,,,,
68,0,68,11:46:42.69,609,239,643,264,1.0,,,,,,,,,,,
69,0,69,11:46:42.81,598,239,632,264,1.0,,,,,,,,,,,
70,0,70,11:46:42.94,587,235,621,260,1.0,,,,,,,,,,,
71,0,71,11:46:43.08,576,235,610,260,1.0,,,,,,,,,,,
72,0,72,11:46:43.20,569,235,603,260,1.0,,,,,,,,,,,
73,0,73,11:46:43.32,554,231,588,256,1.0,,,,,,,,,,,
74,0,74,11:46:43.45,543,231,577,256,1.0,,,,,,,,,,,
75,0,75,11:46:43.58,539,231,573,256,1.0,,,,,,,,,,,
76,0,76,11:46:43.71,535,227,569,252,1.0,,,,,,,,,,,
77,0,77,11:46:43.83,535,227,569,252,1.0,,,,,,,,,,,
78,0,78,11:46:43.96,539,227,573,252,1.0,,,,,,,,,,,
79,0,79,11:46:44.09,543,224,577,249,1.0,,,,,,,,,,,
80,0,80,11:46:44.21,550,224,584,249,1.0,,,,,,,,,,,
81,0,81,11:46:44.32,561,220,595,245,1.0,,,,,,,,,,,
82,0,82,11:46:44.45,572,220,606,245,1.0,,,,,,,,,,,
83,0,83,11:46:44.57,583,220,617,245,1.0,,,,,,,,,,,
84,0,84,11:46:44.68,587,216,621,241,1.0,,,,,,,,,,,
85,0,85,11:46:44.80,591,216,625,241,1.0,,,,,,,,,,,
86,0,86,11:46:44.93,598,213,632,238,1.0,,,,,,,,,,,
87,0,87,11:46:45.06,628,213,662,238,1.0,,,,,,,,,,,
88,0,88,11:46:45.18,632,213,666,238,1.0,,,,,,,,,,,
89,0,89,11:46:45.30,635,213,669,238,1.0,,,,,,,,,,,
90,0,90,11:46:45.43,635,213,669,238,1.0,,,,,,,,,,,
91,0,91,11:46:45.56,635,213,669,238,1.0,,,,,,,,,,,
92,0,92,11:46:45.67,635,213,669,238,1.0,,,,,,,,,,,
93,0,93,11:46:45.78,635,213,669,238,1.0,,,,,,,,,,,
94,0,94,11:46:45.90,635,213,669,238,1.0,,,,,,,,,,,
95,0,95,11:46:46.04,635,213,669,238,1.0,,,,,,,,,,,
96,0,96,11:46:46.15,635,213,669,238,1.0,,,,,,,,,,,
97,0,97,11:46:46.29,635,213,669,238,1.0,,,,,,,,,,,
98,0,98,11:46:46.40,635,213,669,238,1.0,,,,,,,,,,,
99,0,99,11:46:46.53,635,213,669,238,1.0,,,,,,,,,,,
100,0,100,11:46:46.65,635,213,669,238,1.0,,,,,,,,,,,
101,0,101,11:46:46.77,635,213,669,238,1.0,,,,,,,,,,,
102,0,102,11:46:46.89,635,213,669,238,1.0,,,,,,,,,,,
103,0,103,11:46:47.01,635,213,669,238,1.0,,,,,,,,,,,
104,0,104,11:46:47.14,635,213,669,238,1.0,,,,,,,,,,,
105,0,105,11:46:47.26,635,213,669,238,1.0,,,,,,,,,,,
106,0,106,11:46:47.39,635,213,669,238,1.0,,,,,,,,,,,
107,0,107,11:46:47.52,635,213,669,238,1.0,,,,,,,,,,,
108,0,108,11:46:47.63,635,213,669,238,1.0,,,,,,,,,,,
109,0,109,11:46:47.74,635,213,669,238,1.0,,,,,,,,,,,
110,0,110,11:46:47.87,635,213,669,238,1.0,,,,,,,,,,,
111,0,111,11:46:48.00,635,213,669,238,1.0,,,,,,,,,,,
112,0,112,11:46:48.13,635,213,669,238,1.0,,,,,,,,,,,
113,0,113,11:46:48.25,635,213,669,238,1.0,,,,,,,,,,,
114,0,114,11:46:48.38,635,213,669,238,1.0,,,,,,,,,,,
115,0,115,11:46:48.51,635,213,669,238,1.0,,,,,,,,,,,
116,0,116,11:46:48.60,635,213,669,238,1.0,,,,,,,,,,,
117,0,117,11:46:48.73,665,205,699,230,1.0,,,,,,,,,,,
118,0,118,11:46:48.84,654,205,688,230,1.0,,,,,,,,,,,
119,0,119,11:46:48.95,635,205,669,230,1.0,,,,,,,,,,,
120,0,120,11:46:49.06,628,209,662,234,1.0,,,,,,,,,,,
121,0,121,11:46:49.18,598,209,632,234,1.0,,,,,,,,,,,
122,0,122,11:46:49.30,591,213,625,238,1.0,,,,,,,,,,,
123,0,123,11:46:49.43,587,216,621,241,1.0,,,,,,,,,,,
124,0,124,11:46:49.55,587,209,621,234,1.0,,,,,,,,,,,
125,0,125,11:46:49.67,576,202,610,227,1.0,,,,,,,,,,,
126,0,126,11:46:49.81,572,202,606,227,1.0,,,,,,,,,,,
127,0,127,11:46:49.94,572,202,606,227,1.0,,,,,,,,,,,
128,0,128,11:46:50.06,572,202,606,227,1.0,,,,,,,,,,,
129,0,129,11:46:50.17,572,202,606,227,1.0,,,,,,,,,,,
130,0,130,11:46:50.30,572,202,606,227,1.0,,,,,,,,,,,
131,0,131,11:46:50.40,572,202,606,227,1.0,,,,,,,,,,,
132,0,132,11:46:50.51,572,202,606,227,1.0,,,,,,,,,,,
133,0,133,11:46:50.65,572,202,606,227,1.0,,,,,,,,,,,
134,0,134,11:46:50.76,572,202,606,227,1.0,,,,,,,,,,,
135,0,135,11:46:50.89,572,202,606,227,1.0,,,,,,,,,,,
136,0,136,11:46:51.03,572,202,606,227,1.0,,,,,,,,,,,
137,0,137,11:46:51.14,572,202,606,227,1.0,,,,,,,,,,,
138,0,138,11:46:51.27,572,202,606,227,1.0,,,,,,,,,,,
139,0,139,11:46:51.39,572,202,606,227,1.0,,,,,,,,,,,
140,0,140,11:46:51.49,572,202,606,227,1.0,,,,,,,,,,,
141,0,141,11:46:51.62,572,202,606,227,1.0,,,,,,,,,,,
142,0,142,11:46:51.74,572,202,606,227,1.0,,,,,,,,,,,
143,0,143,11:46:51.86,572,202,606,227,1.0,,,,,,,,,,,
144,0,144,11:46:51.97,572,202,606,227,1.0,,,,,,,,,,,
145,0,145,11:46:52.10,572,202,606,227,1.0,,,,,,,,,,,
146,0,146,11:46:52.20,572,202,606,227,1.0,,,,,,,,,,,
147,0,147,11:46:52.33,572,202,606,227,1.0,,,,,,,,,,,
148,0,148,11:46:52.44,572,202,606,227,1.0,,,,,,,,,,,
149,0,149,11:46:52.57,572,202,606,227,1.0,,,,,,,,,,,
150,0,150,11:46:52.70,572,202,606,227,1.0,,,,,,,,,,,
151,0,151,11:46:52.81,572,202,606,227,1.0,,,,,,,,,,,
152,0,152,11:46:52.93,572,202,606,227,1.0,,,,,,,,,,,
153,0,153,11:46:53.05,565,198,599,223,1.0,,,,,,,,,,,
154,0,154,11:46:53.17,561,194,595,219,1.0,,,,,,,,,,,
155,0,155,11:46:53.29,565,190,599,215,1.0,,,,,,,,,,,
156,0,156,11:46:53.40,569,190,603,215,1.0,,,,,,,,,,,
157,0,157,11:46:53.53,580,190,614,215,1.0,,,,,,,,,,,
158,0,158,11:46:53.64,595,187,629,212,1.0,,,,,,,,,,,
159,0,159,11:46:53.75,624,187,658,212,1.0,,,,,,,,,,,
